Number of Factors,Train RMSE,Validation RMSE,Time (s)
1,0.8388582468032837,0.8683702349662781,734.8348586559296
2,0.8004262447357178,0.8320193290710449,785.2736940383911
4,0.7647906541824341,0.8117378950119019,1059.7545125484467
8,0.7142154574394226,0.80352383852005,1464.4338264465332
12,0.6785417199134827,0.8275840878486633,1853.2372634410858
16,0.6489598751068115,0.8687233328819275,2224.8949825763702
24,0.602935254573822,0.899777352809906,2970.041993379593
32,0.6389352679252625,1.16623854637146,3779.4377748966217
48,0.5368086695671082,1.201850175857544,5691.47874546051
64,0.48116180300712585,1.217947006225586,7354.004484176636